MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
202.659,367.8343,102.9183,0.0027,0.0002,0.0173,0.016,0.057,0.0337,0.2912,0.0488,0.0177,0.0101,0.1129,0.2434,27.3127,0.5401,0.653,-6.1358,0.3634,2.5721,0.215
105.3391,290.2546,73.0113,0.0307,0.0002,0.0075,0.0076,0.0082,0.1163,0.2598,0.0207,0.0269,0.0783,0.0961,0.1039,13.8482,0.5057,0.6571,-4.4995,0.0665,2.3146,0.3406
90.5541,429.6409,149.7591,0.0037,0.0001,0.0061,0.0171,0.0287,0.1121,0.6061,0.0308,0.0776,0.048,0.0615,0.0922,12.824,0.5297,0.6624,-5.0425,0.3692,2.1591,0.2324
115.6688,256.6677,188.9825,0.0055,0.0001,0.0148,0.0035,0.0593,0.0387,0.7529,0.0195,0.0698,0.015,0.0779,0.0704,17.8609,0.3554,0.8123,-6.8123,0.2488,2.2379,0.5238
171.7278,343.4493,152.6015,0.0302,0.0001,0.0109,0.0084,0.045,0.0984,0.8329,0.0423,0.0273,0.0393,0.0742,0.245,25.0236,0.3092,0.7993,-4.3276,0.3329,2.8691,0.5034
116.4359,281.7376,96.195,0.0225,0.0002,0.0145,0.0053,0.0555,0.0837,0.449,0.0107,0.043,0.0575,0.1182,0.0296,24.68,0.3844,0.659,-6.2172,0.0642,1.7675,0.437
89.151,108.0773,94.5267,0.0261,0.0001,0.0042,0.0158,0.0112,0.0939,0.2575,0.0141,0.0276,0.102,0.0891,0.2911,11.2474,0.6684,0.6406,-3.6965,0.417,3.6664,0.1671
161.6942,568.7672,139.4434,0.022,0.0002,0.0079,0.0079,0.0079,0.0594,0.5869,0.0133,0.06,0.0768,0.0617,0.1248,9.9744,0.2921,0.7506,-2.9816,0.0939,2.1095,0.292
148.3936,229.2079,81.6368,0.0199,0.0002,0.0134,0.0154,0.0492,0.1085,0.5724,0.0445,0.0341,0.0875,0.0257,0.0173,17.0594,0.4527,0.7811,-4.4006,0.1154,3.1565,0.4769
208.7754,158.2597,146.9403,0.0089,0.0002,0.0094,0.0072,0.0566,0.0691,0.9574,0.0334,0.0078,0.0971,0.0862,0.2944,27.2912,0.5592,0.7554,-2.7951,0.113,2.0433,0.1008
